#GC	Depth
50.2	96.01
48.8	92.57
47.6	83.56
46	77.32
50.2	87.57
48.8	89.11
47.4	94.18
47.4	96.88
49	106.55
45.6	87.3
48	96.34
44.6	86.71
48	77.55
45	74.62
43.8	85.67
43.4	79.64
47.2	85.67
43.2	91.37
42.8	92.7
42.4	71.74
42.2	79.45
44.2	94.68
43.8	71.79
47.6	94.67
46.6	88.72
41.2	70.57
33.4	58.44
42.4	70.45
45.4	84.86
45.6	82.18
38.4	56.28
42.4	78.31
41.4	72.36
35.4	63.67
45.8	78.03
39.6	61.72
39.6	62.93
36	55.72
42.2	73.35
37.4	76.9
41.4	81.15
43.2	72.65
45.4	85.05
42.6	76.57
43.8	56.25
45.6	86.01
40.2	75.79
39	64.1
41.4	80.93
45.2	80.37
41.2	75.31
45	75.85
48.2	91.32
42.6	85.07
45.4	69.82
42.4	69.7
40.2	82.58
39.2	68.08
40.6	67.42
41.4	72.68
42.4	87.01
40.8	90.59
43.8	73.21
43.4	77.96
39.2	68.95
38.4	74.88
44.2	74.76
44.4	60.11
40.6	73.99
40.6	73.88
46	78.07
42	79.24
41	76.26
38	67.59
41.6	89.4
40.8	80.06
45.2	88.52
45.2	71.29
38.8	67.77
42	64.06
44	71.24
44.6	84.95
39.8	73.91
44.6	85.79
43.8	81.01
46.2	74.17
47	72.37
44	69.56
44.2	81.07
46.6	69.92
50.8	79.15
49.2	88.35
41.8	69.83
47.8	70
50.2	93.28
48.4	80.23
48	78.46
41.4	81.52
46.4	84.55
44	91.94
47.8	82.78
46.2	87.12
45.2	75.88
37.6	72.1
50.2	90.06
49	97.83
47.8	83.94
38.4	62.64
45.2	81.66
45.8	79.44
45	89.3
41.6	83.45
44.8	79.54
48.4	78.06
46.8	78.46
43.8	89.33
44.2	80.06
47.8	86.38
45.6	83.09
41	72.46
36.4	60.97
37.8	77.56
44.2	97.67
41.2	77.1
44	69.51
43	70.51
43.2	85.17
42	74.35
42.6	66.19
46.4	83.29
43.6	66.76
44.2	84.29
40.4	63.54
46.6	87.81
46.2	80.02
48.6	99.28
43.6	66.08
42.2	93.07
45.4	78.03
41	71.19
41	67.31
41	75.09
40.8	81.85
45.4	82.08
41.8	76.24
49.6	77.08
41.2	63.53
41.6	69.11
41.8	82.91
43.4	89.3
41	66.93
44.8	81.48
47.2	80.85
40	80.05
37.4	70.09
38.8	89.68
37.4	67.06
39.2	72.78
38	65.24
39	81.67
40.6	69.42
41.8	73.72
43.2	65.31
51.2	90.84
48.2	102.55
50	97.3
51.4	103.07
47.6	85.1
42.6	74.46
45.2	72.1
47.6	92.45
46.4	89.75
41.4	62.67
41.6	84.17
43	79.97
47.6	82.98
45.8	70.14
44	79.74
42.2	73.37
44.2	81.01
46.6	84.83
46.6	86.64
44.2	79.7
42.8	85.72
45.6	78.33
45.4	88.09
49	103.21
47.4	95.56
43.8	91.07
42.4	68.18
48.6	80.85
48.2	81.13
48.8	94.3
46.8	69.12
46.6	79.4
46.2	94.08
46.6	73.77
46	87.69
42.8	80.59
42.4	62.81
44.4	83.56
45	72.74
46.8	77.42
41.6	76.93
44.4	57.83
43.6	69.88
39	76.12
44.2	64.43
47.6	84.83
48.4	95.41
44.6	83.56
46.4	80.43
46.2	81.08
42.6	78.91
45.4	81.75
37.6	61.22
46	97.82
45.8	85.09
41	71.6
44	75.12
38.4	74.53
50.8	84.02
48	92.12
47.2	85.99
49.6	85.85
46.4	91.09
48.6	76.95
41.2	69.42
45.2	80.22
45.2	64.3
38	74.02
47.2	70.96
45.8	77.33
46.4	87.49
43.6	69.88
46.8	69.29
45	74.51
42.2	66.92
40.2	71.17
40.6	63.4
39.8	71.4
43	66.92
42	56.74
44.4	84.26
42.8	67.01
38.6	76.57
42.4	81.96
42	76.65
43	70.46
44.2	84.12
44.8	87.49
40.2	82.03
41.4	90.47
43.4	79.11
35	61.56
45.4	87.95
39.4	75.39
44	66.27
44	76.85
45	79.53
42.2	67.76
45	73.81
42.8	64.41
41.2	84.35
42	79.35
45.6	91.4
44.6	75.91
41.6	75.54
40.2	69.63
41.8	74.35
46	72.75
45.2	77.53
40.4	60.17
43.2	72.25
42	73.27
31.4	56.6
41.6	72.26
41.4	86.33
40	75.49
45.2	91.74
47.2	91.73
47.4	87.63
44	79.85
44.6	82.01
43.6	63.83
47.8	82.98
40.6	66.63
44.4	86.32
41.8	69.05
44.2	69.72
44	75.54
43.4	67.87
42.2	67.22
47.2	70.4
45.4	77.16
48.6	69.95
39.6	64.25
44.2	74.18
37.6	69.54
45.2	84.17
45.8	85.49
42.4	85.75
44.8	87.68
47.6	82.05
43	73.27
44	65.62
42.4	72.96
43.4	77.04
42.4	80.82
40.2	76.44
42.6	92.19
47	76.38
42	87.38
41.2	84.11
45.2	82.53
46.8	83.83
45.2	71.05
47.4	80.47
43.4	80.58
44.8	90.38
37.6	53.01
44.6	95.79
47	82.55
45.8	85.29
45.2	78.17
47	80.47
40.6	68.66
44.6	90.09
41.2	81.27
41.6	79.3
41.8	67.36
44.4	89.39
41.6	73.63
41.6	94.93
45	75.85
36	45.4
42.8	78.98
41.4	68.69
41.4	69.24
43.6	83.37
36.6	75.76
45.8	83.15
41	78.31
46.4	83.5
45.6	81.25
45.8	94.54
45.2	70.9
43	87.72
41.6	82.44
37	69.45
43.2	68.21
37.4	67.89
42.2	74.76
37.8	55.58
30.6	46.8
36.2	49.47
31.2	55.3
36.8	62.72
39.8	59.98
38.6	74.08
32.8	54.82
40.4	62.75
40	73.19
42.2	74.39
41.4	75.92
43.4	77.15
45.6	78.76
43	73.31
44	91.06
39.8	79.71
42.6	80.24
44.4	92.19
44.8	91.35
44.8	82.41
48.2	68.81
45.8	82.56
36.2	61.24
41.6	66.18
37.2	59.25
40.2	69.21
44.8	77.54
40.4	56.21
43.8	73.41
39.4	71.96
40.6	75.24
45.4	82.77
43	82.23
45.8	89.43
44.2	56.37
44.4	80.73
43.6	71.38
42.4	74.44
44.8	84.1
40.2	88.17
43	81.65
42.6	72.75
40.6	57.43
44.6	80.35
44.6	87.81
44.4	73.32
46.6	79.45
43	71.16
44.2	72.9
43.2	71.57
46.4	78.78
47.2	79.72
45.6	81.9
48	90.18
45.4	87.11
46	100.2
39.8	68.92
43	74.05
43.2	77.27
45.4	71.89
43.8	74.98
41.6	56.09
46.8	82.67
46.8	83
43.4	87.95
42	56.13
42	61.31
46.2	87.34
38.6	70.53
37.6	55.47
39.2	65.75
44.4	68.68
48.2	100.11
49.8	100.74
49.8	85.36
49	85.07
33.8	65.97
47.2	80.38
44.8	70.86
49	89.34
49.6	92.1
42.8	71.31
49.4	89.33
46	77.2
44.4	68.34
47.6	86.75
49	86.42
48.8	86.89
46.4	85.5
49.6	74.24
48.6	86.07
48	77.1
47	88.62
49.2	94.81
41.6	77.59
51.4	102.92
